order_date,sku,product_name,city,darkstore,warehouse,units_sold,revenue
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Surat,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Mumbai,,,1,395
2026-06-17,10257699,Real Nut Roasted & Salted Pistachios,Pune,,,1,450
2026-06-17,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",UP-NCR,,,1,240
2026-06-17,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",UP-NCR,,,1,240
2026-06-17,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-17,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-17,10258370,Real Nut Roasted & Salted Flavoured Almonds,UP-NCR,,,1,355
2026-06-17,10258370,Real Nut Roasted & Salted Flavoured Almonds,Ahmedabad,,,1,355
2026-06-17,10258370,Real Nut Roasted & Salted Flavoured Almonds,Lucknow,,,1,355
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Chennai,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Kolkata,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,2,790
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-17,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
